Year,Player,School,Completions,Attempts,Average Yards,Total Yards,Touchdowns,Int,Rec,Position
2021,Bryce Young,Alabama,366,547,,4872,47,7,,QB
2020,DeVonta Smith,Alabama,,,15.9,1856,23,,117,WR
2019,Joe Burrow,LSU,402,527,,5671,60,6,,QB
2018,Kyler Murray,Oklahoma,260,377,,4361,42,7,,QB
2017,Baker Mayfield,Oklahoma,285,404,,4627,43,6,,QB
2016,Lamar Jackson,Louisville,230,409,,3543,30,9,,QB
2015,Derrick Henry,Alabama,,395,5.6,2219,28,,,RB
2014,Marcus Mariota,Oregon,304,445,,4454,42,4,,QB
2013,Jameis Winston,Florida State,257,384,,4057,40,10,,QB
2012,Johnny Manziel,Texas A&M,295,434,,3706,26,9,,QB
2011,Robert Griffin III,Baylor,291,402,,4293,37,6,,QB
2010,Cam Newton,Auburn,185,280,,2854,30,7,,QB
2009,Mark Ingram,Alabama,,271,6.1,1658,17,,,RB
2008,Sam Bradford,Oklahoma,328,483,,4720,50,8,,QB
2007,Tim Tebow,Florida,234,350,,3286,32,6,,QB
2006,Troy Smith,Ohio State,203,311,,2542,30,6,,QB
2005,Reggie Bush,USC,,200,,1740,16,,,RB
2004,Matt Leinart,USC,269,412,,3322,33,6,,QB
2003,Jason White,Oklahoma,278,451,,3846,40,10,,QB
2002,Carson Palmer,USC,309,489,,3942,33,10,,QB
2001,Eric Crouch,Nebraska,105,189,,1510,7,10,,QB
2000,Chris Weinke,Florida State,266,431,,4167,33,11,,QB
1999,Ron Dayne,Wisconsin,,337,6.0,2034,20,,,RB
1998,Ricky Williams,Texas,,361,5.9,2124,27,,,RB
1997,Charles Woodson,Michigan,,,21.0,231,2,,,DB
1996,Danny Wuerffel,Florida,207,360,,3625,39,13,,QB
1995,Eddie George,Ohio State,,328,5.9,1927,24,,,RB
1994,Rashaan Salaam,Colorado,,298,6.9,2055,24,,,RB
1993,Charlie Ward,Florida State,264,380,,3032,27,4,,QB
1992,Gino Torretta,Miami (FL),228,402,,3060,19,7,,
1991,Desmond Howard,Michigan,,,15.9,985,19,,62,WR
1990,Ty Detmer,BYU,361,562,,5188,41,28,,QB
1989,Andre Ware,Houston,365,578,,4699,46,15,,QB
1988,Barry Sanders,Oklahoma State,,344,7.6,2628,37,,,RB
1987,Tim Brown,Notre Dame,,,21.7,846,3,,39,WR
1986,Vinny Testaverde,Miami (FL),175,276,,2557,26,9,,QB
1985,Bo Jackson,Auburn,,278,6.4,1786,17,,,RB
1984,Doug Flutie,Boston College,233,386,,3454,27,11,,QB
1983,Mike Rozier,Nebraska,,275,7.8,2148,29,,,RB
1982,Herschel Walker,Georgia,,335,5.2,1752,16,,,RB
1981,Marcus Allen,USC,,433,5.6,2427,22,,,RB
1980,George Rogers,South Carolina,,297,6.0,1781,14,,,RB
1979,Charles White,USC,,332,6.2,2050,19,,,RB
1978,Billy Sims,Oklahoma,,231,7.6,1762,20,,,RB
1977,Earl Campbell,Texas,,267,6.5,1744,18,,,RB
1976,Tony Dorsett,Pitt,,370,5.8,2150,22,,,RB
1975,Archie Griffin,Ohio State,,262,5.5,1450,4,,,RB
1974,Archie Griffin,Ohio State,,256,6.6,1965,12,,,RB
1973,John Cappelletti,Penn State,,286,5.3,1522,17,,,RB
1972,Johnny Rodgers,Nebraska,,73,4.8,348,10,,,RB
1971,Pat Sullivan,Auburn,182,325,,2262,21,13,,QB
1970,Jim Plunkett,Stanford,211,388,,2980,19,19,,QB
1969,Steve Owens,Oklahoma,,358,4.3,1523,23,,,RB
1968,O.J. Simpson,USC,,383,4.9,1880,23,,,RB
1967,Gary Beban,UCLA,87,156,,1359,8,7,,QB
1966,Steve Spurrier,Florida,179,291,,2012,16,8,,QB
1965,Mike Garrett,USC,,267,5.4,1440,13,,,RB
1964,John Huarte,Notre Dame,114,205,,2062,16,11,,QB
1963,Roger Staubach,Navy,128,192,,1702,7,7,,QB
1962,Terry Baker,Oregon State,112,203,,1738,15,5,,QB
1961,Ernie Davis,Syracuse,,150,5.5,823,12,,,RB
1960,Joe Bellino,Navy,,168,5.0,834,,,,RB
1959,Billy Cannon,LSU,,139,4.3,598,5,,,RB
1958,Pete Dawkins,Army,,78,5.5,428,,,,RB
1957,John David Crow,Texas A&M,,129,4.4,562,6,,,RB
1956,Paul Hornung,Notre Dame,59,111,,917,3,13,,QB
1955,Howard Cassady,Ohio State,,161,6.0,958,14,,,RB
1954,Alan Ameche,Wisconsin,,146,4.4,641,,,,RB
1953,Johnny Lattner,Notre Dame,,134,4.9,651,,,,RB
1952,Billy Vessels,Oklahoma,,,,,,,,RB
1951,Dick Kazmaier,Princeton,,,,,,,,RB
1950,Vic Janowicz,Ohio State,,,,,,,,RB
1949,Leon Hart,Notre Dame,,,,,,,,DE
1948,Doak Walker,SMU,,,,,,,,RB
1947,Johnny Lujack,Notre Dame,61,109,,777,9,8,,QB
1946,Glenn Davis,Army,,,,,,,,RB
1945,Doc Blanchard,Army,,,,,,,,FB
1944,Les Horvath,Ohio State,,,,,,,,QB
1943,Angelo Bertelli,Notre Dame,,,,,,,,QB
1942,Frank Sinkwich,Georgia,,,,,,,,RB
1941,Bruce Smith,Minnesota,,,,,,,,RB
1940,Tom Harmon,Michigan,43,94,,506,7,11,,QB
1939,Nile Kinnick,Iowa,,,,,,,,RB
1938,Davey O'Brien,TCU,,,,,,,,QB
1937,Clint Frank,Yale,,,,,,,,QB
1936,Larry Kelley,Yale,,,,,,,,DE
1935,Jay Berwanger,Chicago,,,,,,,,RB